ID,Date,Basin,Region,Pollutant,Concentration,MPC,below_detection,exceeds_plausible,water_body,water_body_type,table_type,station,source_bulletin
1,2024-06-30,Aralo-Syrdarya,Kyzylorda,Copper,0.003,0.001,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-06.pdf
2,2024-06-30,Aralo-Syrdarya,Kyzylorda,Nitrates,0.061972,45.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-06.pdf
3,2024-06-30,Aralo-Syrdarya,Kyzylorda,Oil Products,0.02,0.05,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-06.pdf
4,2024-06-30,Aralo-Syrdarya,Kyzylorda,Phenols,0.0,0.001,True,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-06.pdf
5,2024-06-30,Aralo-Syrdarya,Kyzylorda,Sulfates,256.0,500.0,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2024-06.pdf
6,2024-06-30,Aralo-Syrdarya,Kyzylorda,Sulfates,312.0,500.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-06.pdf
7,2024-08-31,Aralo-Syrdarya,Kyzylorda,Copper,0.003,0.001,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-08.pdf
8,2024-08-31,Aralo-Syrdarya,Kyzylorda,Nitrates,0.070826,45.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-08.pdf
9,2024-08-31,Aralo-Syrdarya,Kyzylorda,Oil Products,0.0,0.05,True,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-08.pdf
10,2024-08-31,Aralo-Syrdarya,Kyzylorda,Phenols,0.0,0.001,True,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-08.pdf
11,2024-08-31,Aralo-Syrdarya,Kyzylorda,Sulfates,240.0,500.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-08.pdf
12,2024-09-30,Aralo-Syrdarya,Kyzylorda,Copper,0.003,0.001,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-09.pdf
13,2024-09-30,Aralo-Syrdarya,Kyzylorda,Nitrates,0.354128,45.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-09.pdf
14,2024-09-30,Aralo-Syrdarya,Kyzylorda,Oil Products,0.003,0.05,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-09.pdf
15,2024-09-30,Aralo-Syrdarya,Kyzylorda,Phenols,0.0,0.001,True,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-09.pdf
16,2024-09-30,Aralo-Syrdarya,Kyzylorda,Sulfates,300.0,500.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-09.pdf
17,2024-10-31,Aralo-Syrdarya,Kyzylorda,Copper,0.003,0.001,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-10.pdf
18,2024-10-31,Aralo-Syrdarya,Kyzylorda,Nitrates,0.088532,45.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-10.pdf
19,2024-10-31,Aralo-Syrdarya,Kyzylorda,Oil Products,0.003,0.05,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-10.pdf
20,2024-10-31,Aralo-Syrdarya,Kyzylorda,Phenols,0.0,0.001,True,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-10.pdf
21,2024-10-31,Aralo-Syrdarya,Kyzylorda,Sulfates,270.0,500.0,False,False,Сырдария өзені,river,worst_parameter,,Aralo-Syrdarya_2024-10.pdf
22,2024-10-31,Aralo-Syrdarya,Kyzylorda,Sulfates,336.0,500.0,False,False,Арал теңізі,lake,full_panel,,Aralo-Syrdarya_2024-10.pdf
23,2024-06-30,Balkash-Alakol,Almaty,Copper,0.0027,0.001,False,False,Үлкен Алматы көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
24,2024-06-30,Balkash-Alakol,Almaty,Copper,0.0037,0.001,False,False,Алакөл көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
25,2024-06-30,Balkash-Alakol,Almaty,Copper,0.0043,0.001,False,False,Балқаш көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
26,2024-06-30,Balkash-Alakol,Almaty,Nitrates,0.619724,45.0,False,False,Үлкен Алматы көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
27,2024-06-30,Balkash-Alakol,Almaty,Nitrates,1.283714,45.0,False,False,Алакөл көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
28,2024-06-30,Balkash-Alakol,Almaty,Nitrates,1.814906,45.0,False,False,Балқаш көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
29,2024-06-30,Balkash-Alakol,Almaty,Oil Products,0.0,0.05,True,False,Алакөл көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
30,2024-06-30,Balkash-Alakol,Almaty,Oil Products,0.0,0.05,True,False,Балқаш көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
31,2024-06-30,Balkash-Alakol,Almaty,Oil Products,0.01,0.05,False,False,Үлкен Алматы көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
32,2024-06-30,Balkash-Alakol,Almaty,Phenols,0.0,0.001,True,False,Алакөл көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
33,2024-06-30,Balkash-Alakol,Almaty,Phenols,0.0,0.001,True,False,Үлкен Алматы көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
34,2024-06-30,Balkash-Alakol,Almaty,Phenols,0.0,0.001,True,False,Балқаш көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
35,2024-06-30,Balkash-Alakol,Almaty,Sulfates,14.0,500.0,False,False,Үлкен Алматы көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
36,2024-06-30,Balkash-Alakol,Almaty,Sulfates,2353.0,500.0,False,False,Алакөл көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
37,2024-06-30,Balkash-Alakol,Almaty,Sulfates,2734.333,500.0,False,False,Балқаш көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
38,2024-06-30,Balkash-Alakol,Almaty,Zinc,0.0021,0.01,False,False,Алакөл көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
39,2024-06-30,Balkash-Alakol,Almaty,Zinc,0.003,0.01,False,False,Балқаш көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
40,2024-06-30,Balkash-Alakol,Almaty,Zinc,0.0039,0.01,False,False,Үлкен Алматы көлі,lake,full_panel,,Balkash-Alakol_2024-06.pdf
41,2024-08-31,Balkash-Alakol,Almaty,Copper,0.0006,0.001,False,False,Алакөл көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
42,2024-08-31,Balkash-Alakol,Almaty,Copper,0.0009,0.001,False,False,Үлкен Алматы көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
43,2024-08-31,Balkash-Alakol,Almaty,Copper,0.0016,0.001,False,False,Балқаш көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
44,2024-08-31,Balkash-Alakol,Almaty,Nitrates,0.66399,45.0,False,False,Балқаш көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
45,2024-08-31,Balkash-Alakol,Almaty,Nitrates,1.593576,45.0,False,False,Алакөл көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
46,2024-08-31,Balkash-Alakol,Almaty,Nitrates,4.4266,45.0,False,False,Үлкен Алматы көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
47,2024-08-31,Balkash-Alakol,Almaty,Oil Products,0.0,0.05,True,False,Алакөл көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
48,2024-08-31,Balkash-Alakol,Almaty,Oil Products,0.0,0.05,True,False,Балқаш көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
49,2024-08-31,Balkash-Alakol,Almaty,Oil Products,0.01,0.05,False,False,Үлкен Алматы көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
50,2024-08-31,Balkash-Alakol,Almaty,Phenols,0.0,0.001,True,False,Алакөл көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
51,2024-08-31,Balkash-Alakol,Almaty,Phenols,0.0,0.001,True,False,Үлкен Алматы көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
52,2024-08-31,Balkash-Alakol,Almaty,Phenols,0.0,0.001,True,False,Балқаш көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
53,2024-08-31,Balkash-Alakol,Almaty,Sulfates,8.0,500.0,False,False,Үлкен Алматы көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
54,2024-08-31,Balkash-Alakol,Almaty,Sulfates,2300.0,500.0,False,False,Алакөл көлі,lake,full_panel,,Balkash-Alakol_2024-08.pdf
